================= Perf Change Summary =================

----------------- Regressions -----------------

----------------- >= 2x slower -----------------
+------------+-----------+------------------+---------------------------------+---------+---------------------+--------------------+--------------------+-----------+-----------------+----------------+-------------------------+
|  Model ID  | Precision |    Component     |              Device             | Runtime | Prev Inference time | New Inference time |     Kx slower      |   Job ID  | Previous Job ID | Compile Job ID | Previous Compile Job ID |
+------------+-----------+------------------+---------------------------------+---------+---------------------+--------------------+--------------------+-----------+-----------------+----------------+-------------------------+
|   rtmdet   |   float   |      RTMDet      |         QCS8550 (Proxy)         |  tflite |        12.745       |       28.883       | 2.266222047861907  | j5md36ld5 |    jp2j2k3x5    |      null      |           null          |
|   rtmdet   |   float   |      RTMDet      |        Samsung Galaxy S24       |  tflite |        9.729        |       19.853       | 2.0406002672422656 | jgjwe28v5 |    jpyn914rg    |      null      |           null          |
|   rtmdet   |   float   |      RTMDet      |        Samsung Galaxy S25       |  tflite |        7.476        |       14.99        | 2.0050829320492243 | jpelkwnog |    jgkdjelyp    |      null      |           null          |
| yolov8_det |    w8a8   | YOLOv8-Detection | Dragonwing RB3 Gen 2 Vision Kit |   onnx  |        4.504        |       11.021       | 2.4469360568383665 | jpxdy69jg |    jg9869jwp    |      null      |           null          |
| yolov8_obb |    w8a8   |    YOLOv8-OBB    | Dragonwing RB3 Gen 2 Vision Kit |   onnx  |        4.576        |       10.574       | 2.3107517482517483 | j5w1qx24g |    jp13r7e85    |      null      |           null          |
|  edgetam   |    w8a8   |  memory_encoder  | Dragonwing RB3 Gen 2 Vision Kit | qnn_dlc |        18.217       |       36.561       | 2.0069715101279026 | jgjw2kq85 |    jp0kn3me5    |   jpelez00g    |           null          |
+------------+-----------+------------------+---------------------------------+---------+---------------------+--------------------+--------------------+-----------+-----------------+----------------+-------------------------+
----------------- >= 1.5x slower -----------------
+----------------------------+-----------+----------------------------+---------------------------------+---------+---------------------+--------------------+--------------------+-----------+-----------------+----------------+-------------------------+
|          Model ID          | Precision |         Component          |              Device             | Runtime | Prev Inference time | New Inference time |     Kx slower      |   Job ID  | Previous Job ID | Compile Job ID | Previous Compile Job ID |
+----------------------------+-----------+----------------------------+---------------------------------+---------+---------------------+--------------------+--------------------+-----------+-----------------+----------------+-------------------------+
|            beit            |   w8a16   |            Beit            |      Dragonwing Q-6690 MTP      | qnn_dlc |        65.174       |      109.915       |  1.68648540829165  | jp2v9xe45 |    jgl7dw4l5    |      null      |           null          |
|          dla102x           |    w8a8   |         DLA-102-X          | Dragonwing RB3 Gen 2 Vision Kit | qnn_dlc |        3.942        |       6.439        | 1.6334348046676814 | jprn299v5 |    jpr9rmo9p    |      null      |           null          |
|          dla102x           |    w8a8   |         DLA-102-X          | Dragonwing RB3 Gen 2 Vision Kit |  tflite |        3.548        |        5.35        | 1.507891770011274  | jpelw2r8g |    jp139k325    |      null      |           null          |
|        densenet121         |    w8a8   |        DenseNet-121        | Dragonwing RB3 Gen 2 Vision Kit |   onnx  |         2.89        |       4.765        |  1.64878892733564  | jpxd6l38g |    jp0kw88n5    |      null      |           null          |
|         hrnet_face         |    w8a8   |         HRNetFace          | Dragonwing RB3 Gen 2 Vision Kit | qnn_dlc |        3.829        |       5.943        | 1.5521023765996342 | j56dzrj6p |    jp38dr1z5    |      null      |           null          |
